id,stockId,stockName,stockClass,startDate
748,5871,中租-KY,其他業,2011/12/13
749,5876,上海商銀,金融保險業,2018/10/19
750,5880,合庫金,金融保險業,2011/12/01
751,5906,台南-KY,貿易百貨業,2011/10/24
752,5907,大洋-KY,貿易百貨業,2012/06/06
753,6005,群益證,金融保險業,2005/11/21
754,6024,群益期,金融保險業,2017/10/16
755,6108,競國,電子零組件業,2008/12/30
756,6112,邁達特,資訊服務業,2003/08/04
757,6115,鎰勝,電子零組件業,2004/07/19
758,6116,彩晶,光電業,2004/09/06
759,6117,迎廣,電腦及週邊設備業,2003/08/25
760,6120,達運,光電業,2006/09/13
761,6128,上福,電腦及週邊設備業,2003/06/16
762,6133,金橋,電子零組件業,2003/08/15
763,6136,富爾特,通信網路業,2003/08/25
764,6139,亞翔,其他電子業,2003/08/25
765,6141,柏承,電子零組件業,2003/10/22
766,6142,友勁,通信網路業,2003/08/04
767,6152,百一,通信網路業,2009/12/08
768,6153,嘉聯益,電子零組件業,2008/01/21
769,6155,鈞寶,電子零組件業,2006/08/18
770,6164,華興,光電業,2008/10/21
771,6165,浪凡,其他業,2003/08/04
772,6166,凌華,電腦及週邊設備業,2004/11/08
773,6168,宏齊,光電業,2003/08/25
774,6176,瑞儀,光電業,2007/05/15
775,6177,達麗,建材營造業,2013/08/01
776,6183,關貿,資訊服務業,2011/12/01
777,6184,大豐電,其他業,2005/02/15
778,6189,豐藝,電子通路業,2004/05/24
779,6191,精成科,電子零組件業,2007/10/19
780,6192,巨路,其他電子業,2004/09/27
781,6196,帆宣,其他電子業,2004/05/24
782,6197,佳必琪,電子零組件業,2004/11/08
783,6201,亞弘電,其他電子業,2004/09/27
784,6202,盛群,半導體業,2004/09/27
785,6205,詮欣,電子零組件業,2008/01/21
786,6206,飛捷,電腦及週邊設備業,2004/08/03
787,6209,今國光,光電業,2004/11/08
788,6213,聯茂,電子零組件業,2008/01/21
789,6214,精誠,資訊服務業,2010/12/30
790,6215,和椿,其他電子業,2007/12/31
791,6216,居易,通信網路業,2004/09/27
792,6224,聚鼎,電子零組件業,2009/09/17
793,6225,天瀚,光電業,2004/09/27
794,6226,光鼎,光電業,2008/11/10
